Total_salary,Total_hour_salary,y_salary_m,y_salarySec_m,bin_male,age,maxEducLevel,college,oficio,p6210,p6210s1,p6240,relab,formal,ocu,dsi,totalHoursWorked,Log_Total_hour_salary,out_totalHoursWorked,out_Total_salary
1620833.25,8404.3203125,1300000,NA,1,36,6,1,39,5,11,1,2,1,1,0,45,9.036501175529374,0,0
1378973.375,6703.3427734375,1200000,NA,1,51,7,0,85,6,3,1,1,1,1,0,48,8.810361602367736,0,0
883357,3680.65405273438,737717,NA,1,45,4,0,45,3,5,1,1,1,1,0,56,8.210845747091865,0,0
700000,4083.33325195312,700000,NA,1,61,3,0,53,3,3,1,1,0,1,0,40,8.314668907374916,0,0
1941500.125,9437.84765625,1700000,NA,0,35,7,0,13,6,5,6,2,1,1,0,48,9.152483230627132,0,0
1083000,6317.5,950000,NA,0,35,6,1,42,5,11,1,1,1,1,0,40,8.75107883926235,0,0
1616333.375,8571.46484375,1450000,NA,1,39,7,0,33,6,7,4,1,1,1,0,44,9.056193923910804,0,0
779000,3366.04931640625,750000,NA,1,29,6,1,45,5,11,4,1,1,1,0,54,8.121495025982176,0,0
820857,3990.27709960938,737717,NA,0,56,4,0,55,3,5,1,1,1,1,0,48,8.291615955996127,0,0
882333.4375,5146.94482421875,737717,NA,1,23,7,0,39,6,4,1,1,1,1,0,40,8.54615857960671,0,0
949806.6875,4104.10302734375,800000,NA,1,30,6,1,53,5,11,1,1,1,1,0,54,8.319742490664096,0,0
949806.6875,4617.11572265625,800000,NA,1,28,7,0,39,6,2,1,1,1,1,0,48,8.437525486662503,0,0
300000,4375,300000,NA,1,36,6,1,37,5,11,4,1,0,1,0,16,8.383661798791715,1,0
1591500,7736.45849609375,1500000,NA,0,33,7,0,39,6,3,1,1,1,1,0,48,8.953699303227655,0,0
795883.6875,3868.87915039062,737717,NA,1,38,6,1,37,5,11,1,1,1,1,0,48,8.26072011885228,0,0
1083333.375,5617.2841796875,1000000,NA,0,51,6,1,55,5,11,1,1,1,1,0,45,8.63360358404018,0,0
3633333.25,17662.037109375,3500000,NA,1,43,7,0,21,6,3,1,1,1,1,0,48,9.779172819112205,0,0
1659806.625,9682.205078125,1400000,NA,0,41,6,1,32,5,11,1,2,1,1,0,40,9.178044951655714,0,0
826883.6875,4019.57348632812,737717,NA,0,31,6,1,97,5,11,1,1,1,1,0,48,8.298931078055954,0,0
825800.375,4014.30737304688,737717,NA,1,36,5,0,98,4,8,1,1,1,1,0,48,8.2976201016729,0,0
910333.4375,4425.23193359375,737717,NA,0,50,6,1,55,5,11,4,1,1,1,0,48,8.395077970439914,0,0
1087000,5284.02783203125,900000,NA,0,42,6,1,54,5,11,1,3,1,1,0,48,8.57244393285606,0,0
1500000,7777.77783203125,1500000,NA,1,45,4,0,98,3,5,1,1,1,1,0,45,8.959025950670723,0,0
786000,3056.66674804688,786000,NA,1,20,7,0,95,6,2,1,1,1,1,0,60,8.025080303206243,0,0
1283140,6237.486328125,1200000,NA,1,49,6,1,58,5,11,1,1,1,1,0,48,8.738332548173604,0,0
1333140,7406.33349609375,1200000,NA,1,27,7,0,33,6,1,1,1,1,1,0,42,8.910090790988171,0,0
3050000,17791.666015625,2300000,600000,0,24,7,0,30,6,7,6,1,1,1,0,40,9.786485425270309,0,0
2283333.25,6342.59228515625,1700000,NA,0,47,7,0,19,6,8,1,1,1,1,0,84,8.755042841648427,1,0
350000,5444.4443359375,350000,NA,1,21,7,0,42,6,4,6,1,0,1,0,15,8.602350979826697,1,0
820857,3990.27709960938,737717,NA,1,29,6,1,55,5,11,1,1,0,1,0,48,8.291615955996127,0,0
1513140,6304.75,1200000,NA,1,35,4,0,98,3,5,1,1,1,1,0,56,8.749058596542316,0,0
882333.4375,4289.12109375,737717,NA,0,56,6,1,55,5,11,1,1,1,1,0,48,8.363837117680923,0,0
1275000,6197.91650390625,1200000,NA,0,53,6,1,45,5,11,1,1,1,1,0,48,8.731968466799426,0,0
1625000,7899.3056640625,1500000,NA,0,23,7,0,39,6,4,1,1,1,1,0,48,8.974530143967506,0,0
820857,3908.8427734375,737717,NA,1,41,6,1,55,5,11,1,1,1,1,0,49,8.270996643300107,0,0
820857,3990.27709960938,737717,NA,0,32,6,1,32,5,11,1,1,0,1,0,48,8.291615955996127,0,0
1200000,3333.33325195312,1200000,NA,1,62,4,0,39,3,5,1,1,0,1,0,84,8.111728058894009,1,0
1693140,8230.5419921875,1400000,NA,1,24,7,0,84,6,0,1,1,1,1,0,48,9.015607147175569,0,0
3150000,24500,2800000,NA,0,43,7,0,13,6,7,6,2,1,1,0,30,10.106428396532818,0,0
2925000,22750,2600000,NA,1,55,7,0,13,6,9,6,2,1,1,0,30,10.032320424379096,0,0
737717,4303.34912109375,737717,NA,0,73,4,0,54,3,5,1,3,1,1,0,40,8.367148863894064,0,0
1000000,4861.111328125,1000000,NA,1,51,5,0,93,4,7,1,1,0,1,0,48,8.489022359092397,0,0
882523.6875,4290.0458984375,737717,NA,0,47,6,1,97,5,11,6,1,1,1,0,48,8.36405271080131,0,0
1087140,6341.64990234375,900000,NA,0,29,6,1,39,5,11,1,1,1,1,0,40,8.754894250538243,0,0
741473.3125,2883.50732421875,625000,NA,0,25,6,1,54,5,11,6,3,1,1,0,60,7.966762653096892,0,0
935166.6875,4545.94921875,781000,NA,0,24,6,1,58,5,11,1,1,1,1,0,48,8.421991833815563,0,0
941166.6875,4575.11572265625,781000,NA,1,27,6,1,58,5,11,1,1,1,1,0,48,8.42838727195939,0,0
8977084,46547.84375,7500000,NA,1,52,7,0,2,6,9,6,2,1,1,0,45,10.748235960472313,0,1
6018333.5,31206.173828125,5200000,NA,0,52,7,0,2,6,8,1,2,1,1,0,45,10.348371233328656,0,0
1461473.375,7104.38427734375,1320000,NA,1,25,7,0,2,6,5,1,1,1,1,0,48,8.868467376303586,0,0
2166666.75,10532.408203125,2000000,NA,0,30,7,0,2,6,5,1,1,1,1,0,48,9.26221227823247,0,0
916666.6875,4456.0185546875,850000,NA,0,19,7,0,33,6,1,1,1,1,1,0,48,8.402010945576794,0,0
